Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
World,0,World,8.8, [7.19 - 11.36] , 8.80 ,8.8, [7.17 - 11.33] , 8.80 ," 414,725.6 "," [339,377.73 - 535,877.94] "," 414,725.60 "," 192,797.8 ",," 192,797.80 "," 1,622.1 "," 1,917.3 "," 4,960,535.8 ", 541.9 ,,,,,
AFR,1,AFR,3.2, [2.14 - 6.66] , 3.20 ,3.8, [2.58 - 7.88] , 3.80 ," 14,201.0 "," [9,451.13 - 29,381.26] "," 14,201.00 "," 9,467.5 ",," 9,467.50 ", 242.8 , 466.4 ," 321,120.4 ", 46.4 ,,,,,
Angola,2,AFR,3.3, [2.1 - 5.5] , 3.30 ,4.1, [2.6 - 6.8] , 4.10 , 345.3 , [216.2 - 566.1] , 345.30 , 211.3 , [112.0 - 293.3] , 211.30 , 542.2 , 721.2 ," 6,533.7 ", NO DATA ,0,NO DATA,Extrapolation,,
Benin,2,AFR,0.6, [0.5 - 2.5] , 0.60 ,0.8, [0.6 - 2.8] , 0.80 , 32.6 , [24.2 - 125.1] , 32.60 , 23.3 , [12.5 - 64.8] , 23.30 , 73.0 , 162.6 , 611.1 , NO DATA ,0,SELECTED,Other,,
Botswana,2,AFR,4.0, [2.1 - 6.7] , 4.00 ,5.6, [2.8 - 8.9] , 5.60 , 52.0 , [27.4 - 87.4] , 52.00 , 31.6 , [14.2 - 45.3] , 31.60 , 644.4 ," 1,380.3 "," 1,487.4 ", NO DATA ,0,SELECTED,Other,,
Burkina Faso,2,AFR,1.8, [1.2 - 3.9] , 1.80 ,2.2, [1.5 - 4.9] , 2.20 , 137.7 , [94.0 - 304.4] , 137.70 , 98.2 , [48.7 - 157.7] , 98.20 , 91.0 , 217.2 ," 3,419.8 ", NO DATA ,0,NO DATA,Extrapolation,,
Burundi,2,AFR,2.3, [1.3 - 6.8] , 2.30 ,2.7, [1.5 - 8.4] , 2.70 , 116.5 , [64.8 - 343.2] , 116.50 , 83.1 , [33.6 - 177.8] , 83.10 , 41.8 , 120.5 ," 2,921.5 ", NO DATA ,0,NO DATA,Extrapolation,,
Cabo Verde,2,AFR,1.9, [1.6 - 5.1] , 1.90 ,2.3, [1.9 - 6.1] , 2.30 , 5.8 , [4.8 - 15.5] , 5.80 , 3.5 , [2.5 - 8.0] , 3.50 , 272.8 , 462.2 , 56.8 , NO DATA ,0,NO DATA,Extrapolation,,
Cameroon,2,AFR,5.3, [4.4 - 6.4] , 5.30 ,6.5, [5.4 - 7.9] , 6.50 , 567.3 , [472.2 - 694.0] , 567.30 , 344.4 , [244.7 - 359.6] , 344.40 , 123.0 , 253.4 ," 14,998.1 ", NO DATA ,1,SELECTED,OGTT,,
Central African Republic,2,AFR,5.2, [4.4 - 6.4] , 5.20 ,6.3, [5.2 - 7.6] , 6.30 , 127.0 , [105.6 - 155.6] , 127.00 , 90.6 , [54.7 - 80.6] , 90.60 , 23.2 , 41.9 ," 3,717.3 ", NO DATA ,0,NO DATA,Extrapolation,,
Chad,2,AFR,4.5, [3.8 - 5.5] , 4.50 ,5.7, [4.7 - 6.9] , 5.70 , 258.6 , [215.2 - 316.3] , 258.60 , 184.5 , [111.5 - 163.9] , 184.50 , 73.6 , 146.3 ," 7,155.7 ", NO DATA ,0,NO DATA,Extrapolation,,
Comoros,2,AFR,7.5, [5.3 - 11.2] , 7.50 ,9.9, [6.8 - 14.9] , 9.90 , 29.0 , [20.4 - 43.2] , 29.00 , 20.6 , [10.6 - 22.4] , 20.60 , 87.4 , 152.2 , 318.7 , NO DATA ,1,SELECTED,OGTT,,
