actual_cost,date,items,row_id,row_name
826001.29,01/04/13,50366,Leeds,Leeds
885407.65,01/05/13,53824,Leeds,Leeds
804831.06,01/06/13,48103,Leeds,Leeds
887554.15,01/07/13,54350,Leeds,Leeds
869023.47,01/08/13,52637,Leeds,Leeds
819876.33,01/09/13,50837,Leeds,Leeds
880273.49,01/10/13,53689,Leeds,Leeds
835335.94,01/11/13,51273,Leeds,Leeds
868255.23,01/12/13,53474,Leeds,Leeds
878377.87,01/01/14,54063,Leeds,Leeds
784865.15,01/02/14,48582,Leeds,Leeds
853487.31,01/03/14,52003,Leeds,Leeds
849085.2,01/04/14,52052,Leeds,Leeds
881135.75,01/05/14,52971,Leeds,Leeds
842553.28,01/06/14,51661,Leeds,Leeds
942038.14,01/07/14,56137,Leeds,Leeds
863962.07,01/08/14,51880,Leeds,Leeds
903311.99,01/09/14,53810,Leeds,Leeds
953761.59,01/10/14,56625,Leeds,Leeds
854283.38,01/11/14,50654,Leeds,Leeds
994471.05,01/12/14,57831,Leeds,Leeds
907372.84,01/01/15,53274,Leeds,Leeds
856665.42,01/02/15,50388,Leeds,Leeds
945887.39,01/03/15,55723,Leeds,Leeds
935710.23,01/04/15,54929,Leeds,Leeds
919324.52,01/05/15,52828,Leeds,Leeds
985598.71,01/06/15,56709,Leeds,Leeds
1023637.3,01/07/15,58562,Leeds,Leeds
912534.65,01/08/15,52938,Leeds,Leeds
973817.91,01/09/15,56016,Leeds,Leeds
