actual_cost,date,items,row_id,row_name
210137.13,2013-04-01,13774,02V,NHS Leeds North
215059.14,2013-05-01,14294,02V,NHS Leeds North
194525.75,2013-06-01,12708,02V,NHS Leeds North
220954.42,2013-07-01,14620,02V,NHS Leeds North
214987.8,2013-08-01,14263,02V,NHS Leeds North
203092.63,2013-09-01,13685,02V,NHS Leeds North
211342.0,2013-10-01,14375,02V,NHS Leeds North
203747.18,2013-11-01,13600,02V,NHS Leeds North
213563.48,2013-12-01,14268,02V,NHS Leeds North
212997.09,2014-01-01,14304,02V,NHS Leeds North
187568.74,2014-02-01,12887,02V,NHS Leeds North
206133.56,2014-03-01,13700,02V,NHS Leeds North
212547.68,2014-04-01,13939,02V,NHS Leeds North
220697.0,2014-05-01,14226,02V,NHS Leeds North
206975.26,2014-06-01,13662,02V,NHS Leeds North
234623.12,2014-07-01,14868,02V,NHS Leeds North
209156.42,2014-08-01,13697,02V,NHS Leeds North
221988.16,2014-09-01,14150,02V,NHS Leeds North
229018.04,2014-10-01,14674,02V,NHS Leeds North
214898.94,2014-11-01,13392,02V,NHS Leeds North
238276.7,2014-12-01,15124,02V,NHS Leeds North
232511.09,2015-01-01,14284,02V,NHS Leeds North
202705.7,2015-02-01,13049,02V,NHS Leeds North
232891.04,2015-03-01,14730,02V,NHS Leeds North
219095.37,2015-04-01,13868,02V,NHS Leeds North
226617.88,2015-05-01,13927,02V,NHS Leeds North
238044.81,2015-06-01,14962,02V,NHS Leeds North
251834.03,2015-07-01,15187,02V,NHS Leeds North
216411.74,2015-08-01,13712,02V,NHS Leeds North
242778.05,2015-09-01,14909,02V,NHS Leeds North
