actual_cost,date,items,row_id,row_name
322118.01,2013-04-01,17984,03C,NHS Leeds West
357876.3,2013-05-01,19952,03C,NHS Leeds West
316143.57,2013-06-01,17579,03C,NHS Leeds West
345590.42,2013-07-01,19742,03C,NHS Leeds West
342994.19,2013-08-01,19173,03C,NHS Leeds West
319614.91,2013-09-01,18394,03C,NHS Leeds West
349872.95,2013-10-01,19807,03C,NHS Leeds West
325089.17,2013-11-01,18670,03C,NHS Leeds West
342933.07,2013-12-01,19553,03C,NHS Leeds West
346706.35,2014-01-01,19733,03C,NHS Leeds West
310944.07,2014-02-01,17633,03C,NHS Leeds West
342747.71,2014-03-01,19076,03C,NHS Leeds West
334257.85,2014-04-01,18935,03C,NHS Leeds West
342022.94,2014-05-01,19069,03C,NHS Leeds West
330314.76,2014-06-01,18951,03C,NHS Leeds West
372299.5,2014-07-01,20488,03C,NHS Leeds West
332110.97,2014-08-01,18681,03C,NHS Leeds West
359820.59,2014-09-01,19604,03C,NHS Leeds West
372110.2,2014-10-01,20631,03C,NHS Leeds West
330569.62,2014-11-01,18203,03C,NHS Leeds West
391972.44,2014-12-01,21156,03C,NHS Leeds West
355750.99,2015-01-01,19170,03C,NHS Leeds West
341869.35,2015-02-01,18388,03C,NHS Leeds West
371291.3,2015-03-01,20364,03C,NHS Leeds West
374012.69,2015-04-01,20099,03C,NHS Leeds West
364626.53,2015-05-01,19584,03C,NHS Leeds West
381960.85,2015-06-01,20352,03C,NHS Leeds West
403647.84,2015-07-01,21215,03C,NHS Leeds West
355467.11,2015-08-01,19226,03C,NHS Leeds West
380516.62,2015-09-01,20284,03C,NHS Leeds West
