actual_cost,date,items
53627067.85,2010-08-01,3084242
57860936.38,2010-09-01,3295914
54621337.49,2010-10-01,3132935
55850846.48,2010-11-01,3210732
60780020.9,2010-12-01,3457345
53055133.3500001,2011-01-01,3088333
52234647.9,2011-02-01,3004653
60151022.33,2011-03-01,3448388
53482028.07,2011-04-01,3111718
58179203.55,2011-05-01,3331057
59380074.76,2011-06-01,3420819
58593067.0,2011-07-01,3347709
58904557.53,2011-08-01,3399405
60820152.72,2011-09-01,3492575
56134551.39,2011-10-01,3277406
58172560.6400001,2011-11-01,3409474
62388762.72,2011-12-01,3587808
56710769.38,2012-01-01,3311582
56789017.28,2012-02-01,3296154
61812399.15,2012-03-01,3585726
55586471.35,2012-04-01,3313885
61849010.43,2012-05-01,3673526
57513961.75,2012-06-01,3394990
59227360.06,2012-07-01,3532849
60745802.83,2012-08-01,3647192
57353871.86,2012-09-01,3424148
59454621.21,2012-10-01,3642995
59523184.17,2012-11-01,3629251
60443221.69,2012-12-01,3623621
59522046.8299999,2013-01-01,3640663
54711572.9,2013-02-01,3345431
59123536.89,2013-03-01,3597824
60558612.51,2013-04-01,3674776
63038816.3,2013-05-01,3824143
58714868.4,2013-06-01,3548708
64180639.9,2013-07-01,3873713
62196513.46,2013-08-01,3780644
60053711.28,2013-09-01,3645629
63541291.01,2013-10-01,3876932
61068957.14,2013-11-01,3732207
64392540.94,2013-12-01,3891726
63159620.29,2014-01-01,3865724
57536917.16,2014-02-01,3516111
62469193.85,2014-03-01,3794272
62006804.59,2014-04-01,3788765
65374709.53,2014-05-01,3945217
62872202.83,2014-06-01,3792277
69438139.4,2014-07-01,4074731
64412891.97,2014-08-01,3798071
67007280.92,2014-09-01,3939521
70271149.71,2014-10-01,4093102
64263705.11,2014-11-01,3732828
73863127.2199999,2014-12-01,4224456
67900613.98,2015-01-01,3941083
63725769.38,2015-02-01,3674628
70882671.82,2015-03-01,4068426
70198569.64,2015-04-01,4006973
69619673.63,2015-05-01,3940777
72970530.27,2015-06-01,4122593
76544071.8,2015-07-01,4317841
68875390.58,2015-08-01,3911085
73620488.9500001,2015-09-01,4154307
